sku,product_name,barcode,revenue,quantity
P413641RR,P4-13 Baitcast Reel - 6.4:1 / RH,,1560.25,20
CWR1,Custom Speed Stick 7' Casting - Worm Rod,,1529.91,9
Platinum-0925-old,The Bucketmouth Box,,1519.95,38
FTB3C76MH,"13 Fishing Fate Black Rod - 7'6"" MH Casting Rod",,1519.81,19
silver-0924,Silver Monthly: September 2024,,1483.96,74
PMPF75-59,Poppy Mc Pop Face Popper,,1480.0,185
platinum-paid-monthly-3,Platinum Monthly Pass - Bass / 3 Months,,1478.15,38
ZM-BOX4,Z-Man Bait Bundle #4,,1467.55,49
Ragnar-43,Ragnar - LIMITED EDITION: Orange Julius,,1467.36,107
MB-CRAW-GP,PB Craw - Green Pumpkin,,1456.46,296
MB-MCRANK-46-BBC,Seeker 6 - Blue Chartreuse,656750686942,1456.38,162
MB-SEEKER12-BUNDLE,March's Mystery 6 Pack of Baits,,1449.7,48
MB-TFJ-38-6,Tungsten Football Jig - 6 Pack,656750686720,1446.99,46
platinum-1124-old,The Platinum Fall Fishing Kit,,1441.0,37
SB-8,SquareBanger - Blue Craw,,1440.35,172
CMBR1,Custom Speed Stick 7' Casting - Magnum Bass Rod,,1439.91,9
PATRIOT-38,The Patriot v3.0 - LIMITED EDITION: Gold Dust,,1438.53,114
MB-SEEKER8-BUNDLE,April's Mystery 6 Pack of Baits,,1435.5,50
SB05-RCW,Sunny B Crankbait - Red Crawdad,,1422.85,143
P413731RR,P4-13 Baitcast Reel - 7.3:1 / RH,,1422.0,18
P413731LR,P4-13 Baitcast Reel - 7.3:1 / LH,,1422.0,18
CBCE38-03,CrossEyeZ Chatterbait - 3/8 oz / Green  Pumpkin,,1410.49,141
CBSB38-07,Jack Hammer Stealth Blade - Green Pumpkin / 3/8oz,,1407.29,88
kit-frog,The Ultimate Frog & Toad Box – Handpicked by Shaye Baker! 🐸,,1400.0,28
SF-DW-GG-LE,Double WIllow Snek Frog - Orange Glow,,1384.74,126
MB-misc-soft-4277,March's Mystery Bait,,1351.98,522
MHS720TT,"David Dudley Signature Series Rods - Spinning: 7'2"" Medium Heavy Fast",854089007920,1350.0,15
Rapt95PropCyaGrStd,9.5ft Raptor Modular Propeller Drive Pedal Fishing Kayak | 380lbs Capacity | 2 Piece - Cyan Gray / in 1 -2 weeks,860012323593,1349.0,1
BB-DEF-BCC,Defender Squarebill - Black Chrome Shiner,608011177249,1347.51,150
KIT-DROPSHOT,56 Piece Drop Shot Kit,,1334.0,29
ZM-BOX2,Z-Man Bait Bundle #2,,1311.9,42
SB-44,SquareBanger - LIMITED EDITION: Magic Shad,,1310.43,114
BUNDLE-CO-POPPER-6,July's Mystery 6 Bait Bundle,,1301.63,41
mb-subscription-northeast-alt,Platinum: Northeast: Every Other Month,,1292.0,34
TCVSJ38-45,Strike King Thunder Cricket - 3/8 oz / Blue Glimmer,,1290.0,100
HR5-10,"Hellraizer - 5"" / Purple Death",,1289.14,86
LB-FT,DEBO's Little Banger - Fire Tiger,810103812383,1279.02,128
FD65-6-2,Flat Daddy Flat Side Crank,,1274.84,145
B8-JB-PERCH,Holo ShineR - Limited Edition: Green Perch,,1270.9,142
FJC-RD,Flak Jacket Rod Covers: Spinning & Casting - Casting / Red,,1268.08,128
FJC-LG,Flak Jacket Rod Covers: Spinning & Casting - Casting / Grey,,1268.08,128
HYDPS5WGTS,Hyperlastics Dartprop Topwater Prop Bait - White Ghost-Silver,,1262.42,158
JLD3-T005,JLD Series 3 Jerkbait - Black Scale,,1260.0,126
BURNERC-38-5,Blade Burner | Colorado Spinnerbait - Sexy Cracks,,1257.59,151
PPS12-GS,Pacemaker Swim Jig - 1/2oz / Glimmer Shad,,1248.0,208
FJC-CM,Flak Jacket Rod Covers: Spinning & Casting - Casting / Camo,,1244.96,126
HR5-01,"Hellraizer - 5"" / Snow",,1244.17,83
TCVSJ12-832,Strike King Thunder Cricket - 1/2 oz / Black Widow,,1238.9,110
BURNERC-38-4,Blade Burner | Colorado Spinnerbait - Oneida Perch,,1231.56,146
STICKER-MERICA,"Red, White & MONSTERBASS Sticker",,1226.0,613
MB-INCISION-BUNDLE,Incision 69 - 6 Pack,656750687093,1217.1,41
CAS-3/8-CHT/WHT/GLD,Castaic Atlas Spinnerbait 3/8oz - Chartreuse White Gold Blade,,1205.58,142
MB-RAGNAR-SS,The OG Ragnar – Limited Warehouse Find - Silver Shiner,,1193.0,125
MB-ROLLO6-BULLG,September's Mystery Hard Bait,656750687390,1186.97,223
MB-ROLLO6-BCRAW,Rollo 6 - Blue Craw,656750687383,1181.36,151
