,Distribution account,Transaction date,Transaction type,Num,Name,Memo/Description,Split account,Amount,Balance
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,43124 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,43272 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,43280 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,43309 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,43704 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,43830 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,15111 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,15410 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,15705 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,15977 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,11130 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,11309 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,11310 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,11314 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,11317 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,11910 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,11911 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,11912 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,11920 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,THD-19-003 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,THD-19-006 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,THD-19-020 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,THD-19-032 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,THD-19-087 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,THD-19-112 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,THD-350-028 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LSC-470F - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LSC-574F - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LSC-674F - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LSC-470MFC - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LSC-574MFC - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LSC-578MFC - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LSS-370F - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,MLF-1 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,MLF-2 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,PT-65P-BONE - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,PT-65P-MPBC - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,PT-65P-CHR - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,PT-65P-MSH - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,NL-BW1-BBSD - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,NL-BW1-BCSD - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,NL-BW1-BOSD - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,NL-BW1-CKCW - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,NL-BW1-GBGL - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,NL-BW1-GBSD - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,NL-BW1-OBGL - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,NL-BW1-RB - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,C-470F - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,C-574F - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,C-674F - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,C-470MF - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,C-574MF - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,C-578MF - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,S-370F - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,S-474F - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,S-574F - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927018025 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927018056 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927018186 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927018209 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927018247 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927018261 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927018278 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927018292 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927018339 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927018513 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927018544 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927018629 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927018674 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927018865 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927018926 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927018940 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927014119 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927014133 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927014157 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927014201 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927014355 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927014430 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927016021 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927016052 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927016083 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927016151 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927016168 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927016267 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927016274 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927016281 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927016335 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927016946 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927029335 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927029359 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927029373 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927029434 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927029496 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927029502 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927029540 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LURE-848927029038 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,MBVJ-3700 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,BS-S-6 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,BS-G-6 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,BS-G-2 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,BS-B-8 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,BS-G-11 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,BS-S-1 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,BS-S-12 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,P106DD-LS - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,P106DD-MDF - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,P106DD-MILCLWN - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,P106DD-MN - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,P106DD-MRDWN - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,P106DD-PRN6 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,P106DD-SD - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,P106DD-SDPR - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,MM-81 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,MM-26 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,MM-9 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,MM-10 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,MM-82 - Opening inventory and value,Inventory Asset,0,6047.99
,Opening Balance Equity,05/01/2025,Inventory Starting Value,START,,LB-14 - Opening inventory and value,Inventory Asset,0,6047.99
